Date, Close
01/01/2019,3001.42
02/01/2019,2993.18
03/01/2019,2954.66
04/01/2019,3041.85
07/01/2019,3033.64
08/01/2019,3054.94
09/01/2019,3070.24
10/01/2019,3075.73
11/01/2019,3070.04
14/01/2019,3055.18
15/01/2019,3068.05
16/01/2019,3077.22
17/01/2019,3069.35
18/01/2019,3134.92
21/01/2019,3125.07
22/01/2019,3112.8
23/01/2019,3112.13
24/01/2019,3126.31
25/01/2019,3163.24
28/01/2019,3137.27
29/01/2019,3153.42
30/01/2019,3161.74
31/01/2019,3159.43
01/02/2019,3171.12
04/02/2019,3165.2
05/02/2019,3215.04
06/02/2019,3212.75
07/02/2019,3150.76
08/02/2019,3135.62
11/02/2019,3165.61
12/02/2019,3190.75
13/02/2019,3202.37
14/02/2019,3182.66
15/02/2019,3241.25
18/02/2019,3244.79
19/02/2019,3239.41
20/02/2019,3259.49
21/02/2019,3263.7
22/02/2019,3270.55
25/02/2019,3280.01
26/02/2019,3289.32
27/02/2019,3282.77
28/02/2019,3298.26
01/03/2019,3312.1
04/03/2019,3317.12
05/03/2019,3327.19
06/03/2019,3324.67
07/03/2019,3308.85
08/03/2019,3283.6
11/03/2019,3304.44
12/03/2019,3303.95
13/03/2019,3323.45
14/03/2019,3342.03
15/03/2019,3386.08
18/03/2019,3387.94
19/03/2019,3409
20/03/2019,3372.38
21/03/2019,3367.4
22/03/2019,3305.73
25/03/2019,3300.48
26/03/2019,3319.53
27/03/2019,3322.04
28/03/2019,3320.29
29/03/2019,3351.71
01/04/2019,3385.38
02/04/2019,3395.7
03/04/2019,3435.56
04/04/2019,3441.93
05/04/2019,3447.47
08/04/2019,3438.06
09/04/2019,3417.22
10/04/2019,3424.65
11/04/2019,3435.34
12/04/2019,3447.83
15/04/2019,3450.46
16/04/2019,3463.36
17/04/2019,3477.73
18/04/2019,3499.23
19/04/2019,3499.23
22/04/2019,3499.23
23/04/2019,3503.85
24/04/2019,3502.63
25/04/2019,3491.92
26/04/2019,3500.41
29/04/2019,3501.94
30/04/2019,3514.62
01/05/2019,3514.62
02/05/2019,3488.93
03/05/2019,3502.48
06/05/2019,3462.95
07/05/2019,3401.16
08/05/2019,3417.26
09/05/2019,3350.71
10/05/2019,3361.05
13/05/2019,3320.78
14/05/2019,3364.38
15/05/2019,3385.78
16/05/2019,3438.56
17/05/2019,3425.64
20/05/2019,3369.78
21/05/2019,3386.51
22/05/2019,3386.72
23/05/2019,3327.2
24/05/2019,3350.7
27/05/2019,3364.04
28/05/2019,3348.86
29/05/2019,3297.81
30/05/2019,3318.15
31/05/2019,3280.43
03/06/2019,3300.22
04/06/2019,3333.49
05/06/2019,3339.95
06/06/2019,3338.41
07/06/2019,3378.38
10/06/2019,3386.45
11/06/2019,3401.1
12/06/2019,3386.63
13/06/2019,3390.5
14/06/2019,3379.19
17/06/2019,3383.21
18/06/2019,3452.89
19/06/2019,3454.7
20/06/2019,3468.08
21/06/2019,3466.92
24/06/2019,3455.57
25/06/2019,3444.36
26/06/2019,3442.95
27/06/2019,3442.38
28/06/2019,3473.69
01/07/2019,3497.59
02/07/2019,3507.98
03/07/2019,3540.63
04/07/2019,3544.15
05/07/2019,3527.98
08/07/2019,3523.76
09/07/2019,3509.75
10/07/2019,3501.52
11/07/2019,3496.73
12/07/2019,3497.63
15/07/2019,3502.22
16/07/2019,3521.36
17/07/2019,3501.58
18/07/2019,3482.83
19/07/2019,3480.18
22/07/2019,3489.92
23/07/2019,3532.87
24/07/2019,3532.9
25/07/2019,3510.15
26/07/2019,3524.47
29/07/2019,3523.58
30/07/2019,3462.85
31/07/2019,3466.85
01/08/2019,3490.03
02/08/2019,3376.12
05/08/2019,3310.93
06/08/2019,3291.66
07/08/2019,3309.99
08/08/2019,3375.38
09/08/2019,3333.74
12/08/2019,3326.55
13/08/2019,3357.16
14/08/2019,3288.7
15/08/2019,3282.78
16/08/2019,3329.08
19/08/2019,3369.19
20/08/2019,3350.23
21/08/2019,3394.89
22/08/2019,3373.67
23/08/2019,3334.25
26/08/2019,3348.84
27/08/2019,3370.47
28/08/2019,3365.38
29/08/2019,3411.33
30/08/2019,3426.76
02/09/2019,3432.54
03/09/2019,3420.74
04/09/2019,3450.83
05/09/2019,3484.7
06/09/2019,3495.19
09/09/2019,3495.02
10/09/2019,3498.99
11/09/2019,3516.82
12/09/2019,3538.86
13/09/2019,3550.11
16/09/2019,3518.45
17/09/2019,3521.26
18/09/2019,3528.04
19/09/2019,3552.65
20/09/2019,3571.39
23/09/2019,3536.97
24/09/2019,3532.05
25/09/2019,3513.03
26/09/2019,3532.18
27/09/2019,3545.88
30/09/2019,3569.45
01/10/2019,3518.25
02/10/2019,3413.31
03/10/2019,3417.37
04/10/2019,3446.71
07/10/2019,3471.24
08/10/2019,3432.76
09/10/2019,3462.11
10/10/2019,3493.96
11/10/2019,3569.92
14/10/2019,3556.26
15/10/2019,3598.65
16/10/2019,3599.25
17/10/2019,3588.62
18/10/2019,3579.41
21/10/2019,3600.08
22/10/2019,3604.82
23/10/2019,3606.89
24/10/2019,3621.37
25/10/2019,3624.68
28/10/2019,3625.69
29/10/2019,3622.09
30/10/2019,3620.29
31/10/2019,3604.41
01/11/2019,3623.74
04/11/2019,3665.21
05/11/2019,3676.52
06/11/2019,3688.74
07/11/2019,3706.68
08/11/2019,3699.65
11/11/2019,3696.82
12/11/2019,3712.2
13/11/2019,3699.5
14/11/2019,3688.81
15/11/2019,3711.61
18/11/2019,3704.92
19/11/2019,3696.56
20/11/2019,3683.88
21/11/2019,3679.66
22/11/2019,3687.32
25/11/2019,3707.68
26/11/2019,3705.55
27/11/2019,3712.85
28/11/2019,3704.48
29/11/2019,3703.58
02/12/2019,3626.66
03/12/2019,3610.99
04/12/2019,3660.02
05/12/2019,3648.13
06/12/2019,3692.34
09/12/2019,3672.18
10/12/2019,3671.78
11/12/2019,3687.45
12/12/2019,3706.35
13/12/2019,3731.07
16/12/2019,3772.74
17/12/2019,3745.28
18/12/2019,3739
19/12/2019,3739.17
20/12/2019,3776.56
23/12/2019,3776.66
24/12/2019,3774.39
27/12/2019,3782.27
30/12/2019,3748.47
31/12/2019,3745.15
02/01/2020,3793.24
03/01/2020,3773.37
06/01/2020,3752.52
07/01/2020,3759.25
08/01/2020,3772.56
09/01/2020,3795.88
10/01/2020,3789.52
13/01/2020,3779.68
14/01/2020,3774.88
15/01/2020,3768.96
16/01/2020,3774.14
17/01/2020,3808.26
20/01/2020,3799.03
21/01/2020,3789.12
22/01/2020,3769.79
23/01/2020,3736.85
24/01/2020,3779.16
27/01/2020,3677.84
28/01/2020,3719.22
29/01/2020,3736.36
30/01/2020,3690.78
31/01/2020,3640.91
03/02/2020,3661.27
04/02/2020,3732.28
05/02/2020,3777.84
06/02/2020,3805.52
07/02/2020,3798.49
10/02/2020,3793.18
11/02/2020,3825.84
12/02/2020,3854.43
13/02/2020,3846.74
14/02/2020,3840.97
17/02/2020,3853.27
18/02/2020,3836.54
19/02/2020,3865.18
20/02/2020,3822.98
21/02/2020,3800.38
24/02/2020,3647.98
25/02/2020,3572.51
26/02/2020,3577.68
27/02/2020,3455.92
28/02/2020,3329.49
02/03/2020,3338.83
03/03/2020,3371.97
04/03/2020,3420.56
05/03/2020,3363.58
06/03/2020,3232.07
09/03/2020,2959.07
10/03/2020,2910.02
11/03/2020,2905.56
12/03/2020,2545.23
13/03/2020,2586.02
16/03/2020,2450.37
17/03/2020,2530.5
18/03/2020,2385.82
19/03/2020,2454.08
20/03/2020,2548.5
23/03/2020,2485.54
24/03/2020,2715.11
25/03/2020,2800.14
26/03/2020,2847.78
27/03/2020,2728.65
30/03/2020,2765.62
31/03/2020,2786.9
01/04/2020,2680.3
02/04/2020,2688.49
03/04/2020,2662.99
06/04/2020,2795.97
07/04/2020,2857.67
08/04/2020,2851.27
09/04/2020,2892.79
14/04/2020,2917.74
15/04/2020,2808.2
16/04/2020,2812.35
17/04/2020,2888.3
20/04/2020,2909.5
21/04/2020,2791.34
22/04/2020,2834.9
23/04/2020,2852.46
24/04/2020,2809.07
27/04/2020,2882.09
28/04/2020,2932.06
29/04/2020,2996.08
30/04/2020,2927.93
04/05/2020,2816.48
05/05/2020,2875.91
06/05/2020,2843.76
07/05/2020,2880.6
08/05/2020,2908.11
11/05/2020,2883.75
12/05/2020,2884.2
13/05/2020,2810.55
14/05/2020,2760.23
15/05/2020,2770.7
18/05/2020,2911.88
19/05/2020,2902.58
20/05/2020,2942.39
21/05/2020,2904.98
22/05/2020,2905.47
25/05/2020,2971.35
26/05/2020,2999.22
27/05/2020,3051.08
28/05/2020,3094.47
29/05/2020,3050.2
01/06/2020,3077.92
02/06/2020,3159.02
03/06/2020,3269.59
04/06/2020,3261.67
05/06/2020,3384.29
08/06/2020,3366.29
09/06/2020,3320.71
10/06/2020,3293.71
11/06/2020,3144.57
12/06/2020,3153.74
15/06/2020,3136.4
16/06/2020,3242.65
17/06/2020,3267.26
18/06/2020,3249.9
19/06/2020,3269.1
22/06/2020,3241.69
23/06/2020,3298.83
24/06/2020,3196.12
25/06/2020,3218.91
26/06/2020,3204.17
29/06/2020,3232.02
30/06/2020,3234.07
01/07/2020,3228.45
02/07/2020,3320.09
03/07/2020,3294.38
06/07/2020,3350.03
07/07/2020,3321.56
08/07/2020,3286.09
09/07/2020,3261.17
10/07/2020,3296.22
13/07/2020,3350
14/07/2020,3321.39
15/07/2020,3378.21
16/07/2020,3365.35
17/07/2020,3365.6
20/07/2020,3388.34
21/07/2020,3405.35
22/07/2020,3370.76
23/07/2020,3371.74
24/07/2020,3310.89
27/07/2020,3302.84
28/07/2020,3303.56
29/07/2020,3300.16
30/07/2020,3208.2
31/07/2020,3174.32
03/08/2020,3248.28
04/08/2020,3254.29
05/08/2020,3268.38
06/08/2020,3240.39
07/08/2020,3252.65
10/08/2020,3259.71
11/08/2020,3332.12
12/08/2020,3363.18
13/08/2020,3342.85
14/08/2020,3305.05
17/08/2020,3305.85
18/08/2020,3289.64
19/08/2020,3317.62
20/08/2020,3273.98
21/08/2020,3259.75
24/08/2020,3331.74
25/08/2020,3329.71
26/08/2020,3356.76
27/08/2020,3331.04
28/08/2020,3315.54
31/08/2020,3272.51
01/09/2020,3277.58
02/09/2020,3337.77
03/09/2020,3304.22
04/09/2020,3260.59
07/09/2020,3314.07
08/09/2020,3267.37
09/09/2020,3324.83
10/09/2020,3312.77
11/09/2020,3315.81
14/09/2020,3316.79
15/09/2020,3332.26
16/09/2020,3338.84
17/09/2020,3316.57
18/09/2020,3283.69
21/09/2020,3160.95
22/09/2020,3164.13
23/09/2020,3180.11
24/09/2020,3159.64
25/09/2020,3137.06
28/09/2020,3223.19
29/09/2020,3214.3
